IEEE,DOI,NAME OF JOURNAL,PUBLICATION YEAR,LEVEL
"With an older monolithic architecture, it's difficult or impossible to release systems over a certain size. Capers Jones, writing in 1999 after a study of 1,000 applications, wrote that “MIS applications greater than 10,000 function points are rarely successful.”1 These problems have resulted in failed systems costing hundreds of billions of dollars over the last 50 years. Needless to say, in the more than 15 years since, many more failures have occurred.",10.1109/MCC.2016.109,The Economics of Microservices,11 November 2016,0
"Existing streaming data analysis platforms including (e.g., Spark6, Heron7, Google Dataflow8, AWS, Kinesis1, StreamCloud, Apache Storm), are CDC-centric, hence they do not meet the resource management and scheduling requirements for IoT workflows that require coordinated mapping for data analysis activities to both CDC and EDC. Many workflow application management platforms such as Pegasus, Tri-ana, Taverna, Galaxy, e-Science Central, and Kepler support the development, deployment and execution of scientific workflow applications on CDC without considering newly evolved EDC capabilities. Apache Oozie and Linkedin Azkaban support a Hadoop workflow, but in a rather rigid manner that works well for only batch processing activities. Data analytics platforms such as YARN, Mesos Amazon IoT and Google Cloud Dataflow can support manual provisioning of multiple data transformation tasks on CDC resources, but only in a performance-agnostic way.",10.1109/MCC.2017.22,Osmotic Flow: Osmotic Computing + IoT Workflow,26 April 2017,0
DoS have become very serious threat when the organizations are dependent on the services for 24/7. It temporarily denies the access of data stored in the cloud to the authorized users by make an attack on the server by sending thousands of requests to it become unable to respond to the regular clients.,https://doi.org/10.1109/ICEEOT.2016.7755626,Cloud computing security analysis: Challenges and possible solutions,24 November 2016,0
"To manage EHRs efficiently and securely, we propose a design based on steganography, which we use to hide confidential EHR data inside the ECG host data. Steganography offers more efficient and secure information concealment than traditional cryptography.7 Only authorized users can extract data based on their security parameters.8 Our steganography-based approach therefore improves the security of storage and retrieval of EHRs by hiding them inside ECG signals, and enhances performance through flexible feature adoption (such as dynamic policy changes).",10.1109/MCC.2016.76,Hybrid Cryptographic Access Control for Cloud-Based EHR Systems,19 September 2016,0
"Identity and access. A private cloud available for internal enterprise users is easily integrated with existing identity and access management functions, such as corporate directory services. Products such as the IBM Security Identity Manager and Security Access Manager, for example, provide customizable identity and access management support for private cloud deployments.",10.1109/MCC.2014.17,Practical methods for securing the cloud,10 July 2014,0
"Nowadays search engines have influenced people's behavior in using the Internet. Various search engines have been built up and some of them are very dominant, like Google, Yahoo, and Bing. Google, for example, logs 2 billion searches per day and 300 million users use the search facility provided by Google on a daily basis [1]. This number is set to rise in the future so that the facility must be provided by very huge infrastructure and must be coordinated by each other. The infrastructure in this context could consist of a number of machines that runs crawler engine, application servers to accommodate the high demand and storage servers or disk to store the results of all searches.",10.1109/ICCCSN.2012.6215751,Building crawler engine on cloud computing infrastructure,14 June 2012,0
"Parallel computing is a computational paradigm that can be contrasted with the traditional serial computing methodology. In this manner, concurrent execution of many computing operations occurs, contrasting with the typical sequential execution strategy. The process of dividing a task into many sets of instructions, each addressing a specific subtask, in order to enable concurrent resolving, is allocated to several processing elements for implementation.",https://doi.org/10.1109/ICAC3N60023.2023.10541395,A Survey on Energy efficiency in Cloud Computing Frameworks at Different Platforms,5 June 2024,0
"From the review of publications focusing on the interaction between cloud computing and semantic technologies, it can be observed that the implementation of cloud computing solutions is proposed for web applications across different sectors such as electronic learning, biomedicine, forensics, etc. The authors are generally of the opinion that cloud computing provides appropriate solutions for the enhancement of the semantic web as it applies to different industry sectors. There are suggestions that it can play an instrumental role in enhancing the sematic web because of its numerous characteristics that offer cloud resources on demand to clients and thereby support different business models, with a cloud computing architecture that enables developers to efficiently build and deploy distributed systems [8]; [9]; [10]. This implies that semantic web applications can be developed for public distribution through a cloud platform. Also, with cloud computing’s high-performance ability, relatively low cost, and scalability attributes, it is beneficial for driving the semantic web, presenting an effective paradigm for managing, deploying, and offering services using shared infrastructure [11].",10.1109/DeSE51703.2020.9450748,A Cloud Computing Capability Model for Large-Scale Semantic Annotation,14 June 2021,0
"In chemistry, “osmosis” represents the seamless diffusion of molecules from a higher to a lower concentration solution. We believe this process should represent how services can be migrated across data-centers to the network edge. Hence, osmotic computing implies the dynamic management of services and microservices across cloud and edge datacenters, addressing issues related to deployment, networking, and security, thus providing reliable IoT support with specified levels of QoS. Osmotic computing inherits challenges and issues related to elasticity in cloud datacenters, but adds several features due to the heterogeneous nature of edge datacenters and cloud datacenters. Moreover, various stakeholders (cloud providers, edge providers, application providers, and so on) can contribute to the provisioning of IoT service and applications in a federated environment.",10.1109/MCC.2016.124,Osmotic Computing: A New Paradigm for Edge/Cloud Integration,30 December 2016,0
"Recent advancements in container technologies and the capability to overcome limitations in virtualization have, perhaps, encouraged the use of containers in the cloud for software development and deployment. This might also have paved the way for the adoption of a microservice architectural paradigm in cloud-hosted software by lowering infrastructure and maintenance costs.2, 5, 6 For example, microservices support the realization of small (sized) applications that are fine-grained and loosely coupled and communicate through REST protocols. These applications are implemented using APIs provided by the infrastructure-as-a-service (IaaS) layer for provisioning data computing, storage, and delivery capabilities.",10.1109/MCC.2016.105,Challenges in Delivering Software in the Cloud as Microservices,11 November 2016,0
"Some public verification schemes don't protect against external adversaries, so an active and online adversary can intrude into the cloud server, modify the outsourced data, tamper with the interaction messages between the cloud server and auditor, and pass the auditor's verification. (See the “Literature Review” sidebar for related work in this area.) A common approach to resisting such adversaries is to have the cloud server interact with the auditor using a secure channel. However, constructing a secure channel for each verification task is cumbersome.",10.1109/MCC.2016.94,Cryptographic Public Verification of Data Integrity for Cloud Storage Systems,11 November 2016,0
"Amazon Web Services was the first cloud provider to introduce serverless with “Lambda functions” in 2014, but similar offerings from Google, Microsoft, IBM, and others have been introduced since then. Many smaller players are also planning offerings, eager to take part in the trend. There are many similarities and some differences between pricing models and actual prices, and cloud pricing is notoriously subject to frequent revision, but let's take a look at one that is very representative—Amazon Web Services Lambda functions (at the time of this writing).",https://doi.org/10.1109/MCC.2017.32,"Be Wary of the Economics of ""Serverless"" Cloud Computing",26 April 2017,0
"In cloud computing, the biggest challenge is to detect and prevent malicious hackers and to overcome security threats. Most of the big data techniques helps in detecting threats of fraudulent activities occurs over internet. Another biggest challenge is information privacy issues in IT societies. Due to increase of Big Data Utilization in cloud computing, more IT industries and IT Business suffers from privacy issues. Instead of assuring security policies and privacy techniques on IT industries, it is better to revise the policies and regulations of cloud computing, so that there will be a balance between data security and privacy polices provide to global users",https://doi.org/10.1109/I-SMAC.2017.8058278,Research opportunities and challenges of security concerns associated with big data in cloud computing,5 October 2017,0
"The attacker can take advantage of the flaws contained in user software deployed in cloud infrastructure. Flaws can be caused by errors of coding, design, deployment, etc. In this case, the attacker can achieve the execution of an arbitrary code with the rights of the user who launched the process.",https://doi.org/10.1109/SCM58628.2023.10159053,Model of a Self-Healing Computing Process of a Cloud Computing System under Conditions of Information and Technical Impacts,26 June 2023,0
"For instance, some programs have built-in systems such as credit validations, mapping, and address validation services that must be maintained. This can cost upward of hundreds of thousands of dollars per year. The service-based approach lets us reach out and consume remote services that provide this functionality and more, so you can get out of the business of maintaining services that can be found in other places. It also lets us expose services for use within the enterprise by other applications, or even sell services to other enterprises over the open Internet.",10.1109/MCC.2016.114,Practical Use of Microservices in Moving Workloads to the Cloud,11 November 2016,0
"A horizontal representation of IoT driver technologies illustrates the connectivity and common operational platforms (Figure 1).1, 3 The functionalities of the layers presented in Figure 1 are defined with respect to the Open Systems Interconnection (OSI) model layers. The edge network layer, which corresponds to the OSI model's physical layer, is the data perception layer, which is responsible for sensing the physical environment, collecting real-time data, and reconstructing a general perception of the data. These technologies and devices typically have short-range communication, constrained batteries, and low storage and computational power. The access network layer represents the data link layer and has heterogeneous communication technologies that enable the first stage of data transmission in terms of communication path handling and data publishing. This layer's major services include message routing, publishing, and subscribing.",10.1109/MCC.2016.28,The Quest for Privacy in the Internet of Things,25 May 2016,0
"Virtualization increases the utilization of computing servers by allowing them to host multiple virtual machines simultaneously on each of these physical servers; thus, virtualization provides a direct impact on energy efficiency of a single server as well as a datacenter.",https://doi.org/10.1109/ICPCSI.2017.8391816,The role of cloud computing infrastructure elasticity in energy efficient management of datacenters,21 June 2018,0
"Amazon maintains 38 availability zones within 14 geographic regions around the world, with nine more availability zones and four more regions coming online throughout the next year.7 According to Amazon,8 most data centers house between 50,000 and 80,000 servers, and always less than 100,000 servers. If we consider that each of these zones has one or more data centers, a conservative estimate puts Amazon at over 2–4 million servers globally.",10.1109/MCC.2017.42,The Limits to Cloud Price Reduction,29 June 2017,0
"In the first communication flow, secondary healthcare providers retrieve patient data to provide the appropriate follow-up examination (such as specialist medical services and examinations). In the second communication flow, primary healthcare providers are notified whenever new information (such as medical records) relating to a given patient is available, thus facilitating a smooth handover. Also, at the administration level of a healthcare provider, there's a communication flow in which the administration collects relevant documents for a range of functions (such as billing). This flow is similar to the second communication flow between primary and secondary healthcare providers. Such a communication flow is also of interest to the administration of the secondary healthcare structures and providers.",10.1109/MCC.2016.139,Healthcare-Related Data in the Cloud: Challenges and Opportunities,30 December 2016,0
"There are also devices with embedded sensors for more advanced medical tasks, such as bracelets to measure heartbeat during workouts, or devices for self-testing of glucose. For example, Leu and collaborators proposed a smartphone-based wireless body sensor network to collect user physiological data using body sensors embedded in a smart shirt.8 The data (e.g. user's vital signs) can be continuously gathered and sent in real-time to a smart device, before being sent to a remote healthcare cloud for further analysis. Another example is Ambient Assisted Living solutions for healthcare designed to realize innovative telehealth and telemedicine services, in order to provide remote personal health monitoring.9",https://doi.org/10.1109/MCC.2018.011791712,Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy?,28 March 2018,0
"From a technical viewpoint, a cloud's system elements include processing, network, and storage elements. The cloud architecture consists of three abstract layers: infrastructure, platform, and application. Infrastructure is the lowest layer and is a means of providing processing, storage, networks, and other fundamental computing resources as standardized services over the network. Servers, storage systems, switches, routers, and other systems handle specific types of workloads from batch processing to server-storage augmentation during peak loads. Cloud providers' clients can deploy and run operating systems and software for their underlying infrastructures. The middle layer provides higher abstractions and services to develop, test, deploy, host, and maintain applications in the same integrated development environment. This layer provides a runtime environment and middleware to deploy applications using programming languages and tools the cloud provider supports. The application layer is the highest layer and features a complete application offered as a service. Figure 1 shows a cloud infrastructure's general layered architecture, with the additional user interface layer, which enables seamless interaction with all the underlying everything-as-a-service layers.",10.1109/MIC.2010.113,Cloud Computing: The New Frontier of Internet Computing,2 September 2010,0
"There are many challenges that exist in cloud computing such as privacy, security and availability due to its dynamic resource provisioning based on the on demand requests from cloud users. There are many mechanisms available for handling these security and privacy issues in cloud computing. But these approaches cannot be directly applied to fog computing due to a mixture of features that treat it different form cloud [1]. Cloud computing is derived from many paradigms like distributed computing, utility computing, service oriented computing and grid computing. For privacy protection there are many approaches available which are being used in cloud computing environment like attribute based encryption, key policy ABE, cipher text ABE, encryption based on hierarchy, searchable technique using encryption and re-encryption based on proxy etc.",10.1109/ICCCNT49239.2020.9225396,Detection and Prevention Mechanisms for DDoS Attack in Cloud Computing Environment,15 October 2020,0
"A follow-up study showed that it's possible to extract private keys via the cross-VM side channel in a lab environment.2 In another study, researchers from the College of William and Mary reported that side-channel attacks aren't just a potential risk, but a realistic threat.3 They created a covert channel via another shared resource (the memory bus) that had a level of reliability and throughput of more than 100 bps in both lab and EC2 environments.",10.1109/MCC.2014.20,Security and Privacy in Cloud Computing,10 July 2014,0
"The obvious solution is to deploy these security sensitive applications on the organization's internal computer infrastructure, which is often (rightly or wrongly) perceived to be more secure than the public cloud. However, these private clouds have some important limitations. Although scalability in a public cloud is effectively infinite for most applications because of the sheer magnitude of the resources available,[3] private clouds are limited by the size of the organization's internal IT. Further, not all the scalable, platform-level services that are offered on public clouds are available in the private cloud. For example, Amazon offers a range of scalable data storage solutions for structured and unstructured data, not all of which are available for deployment on private clouds.",10.1109/MCC.2014.46,Application Security through Federated Clouds,30 September 2014,0
"A cloud based architecture is particularly suitable for video analysis since it often involves in intensive computations. The heavy loading of complex computations can thus be shifted to cloud servers to alleviate the power consumptions of mobile devices or video sensors. In addition, the centralized service-oriented model of cloud computing relieves service providers from the burden of deploying and upgrading their software.",https://doi.org/10.1109/iThings.2014.59,City Eyes: An Unified Computational Framework for Intelligent Video Surveillance in Cloud Environment,16 March 2015,0
"Wireless connectivity is always unstable, especially in the personnel-intensive areas or under some special circumstances. How to guarantee the normal operation of the mobile application is a difficulty in the case of a sudden loss of connectivity [25]. For example, in a mobile Ad hoc cloud, if a mobile node suddenly disconnects from the network, how is the node’s computing task to be handled? So user mobility and network availability should be taken into account in the process of task division and migration. In addition, mobile caching technology provided by HTML5 can be used as an auxiliary solution.",https://doi.org/10.1109/CIACT.2018.8480365,"Mobile Cloud Computing: the State of Art, Application Scenarios and Challenges",4 October 2018,0
"These data centers are smaller in size and are huge in number linked geographically along the network edges. These data centers save more energy as compared to normal data centers. [4] So, in order to reduce energy wastage, nano data centers came into picture.",https://doi.org/10.1109/ICICICT54557.2022.9917654,Energy Savings using Green Cloud Computing,18 October 2022,0
"These facts illustrate the general direction cloud deployment is trending toward in the enterprise, but they do not tell the entire story. What about the security concerns and implications of continued placement of cloud workloads across one or more cloud models? According to Eurostat's Cloud Computing-Statistics on the Use by Enterprises report",10.1109/MCC.2016.21,The Hybrid Cloud Security Professional,26 February 2016,0
"Decently, we've seen a wide adoption and deployment of Internet of Things (IoT) I’) infrastructures and systems for various crucial applications, [1] such as logistics, smart cities[2] and healthcare. This has led to high demands on data storage, processing, and management services in cloud-based datacenters, engendering strong integration needs between IoT and cloud services. Cloud services are mature and provide excellent elastic computation and data management capabilities for IoT. In addition, as IoT systems become complex, cloud management techniques are increasingly employed to manage IoT components. Thus, cloud services now act as computational and data processing platforms as well as management platforms for IoT. From a high-level view, IoT appears to be well-integrated with cloud datacenters to establish a uniform infrastructure for IoT cloud applications. However, the software layers on top of such integrated infrastructures are still fragmented, and therefore far from a uniform software layer to support a coherent execution environment for complex applications.",10.1109/MCC.2015.23,Principles for Engineering IoT Cloud Systems,2 June 2015,0
"In reality, moving from an internal cyber-physical network to the cloud can lead to various security issues. There are only a few known cyberattack incidents on cyber-physical systems, but a successful attack can have real-world and catastrophic consequences. A recent survey suggested that the role of digital forensics in CPCS incident handling isn't widely understood.3 Although existing digital forensics tools and techniques are unlikely to stop an attack in real time, a forensic-by-design approach can help in several ways. For example, it can help identify an incident by its source and determine its type, preserve and analyze critical evidential data, reconstruct fragments of evidential data and draw conclusions, and accelerate information asset restoration.",10.1109/MCC.2016.5,Forensic-by-Design Framework for Cyber-Physical Cloud Systems,26 February 2016,0
"Big data has emerged in domains such as science, engineering, and comO merce. Facebook, for example, currently stores more than 20 petabytes of photos, and this number grows by 60 terabytes each week.1 In the big data era, clouds become a perfect candidate for data storage by providing virtually unlimited storage that can be accessed over the Internet. By outsourcing large volumes of data to cloud storage, such as Google Drive, Dropbox, and Amazon Simple Storage Service, users can simplify their data management and reduce data maintenance costs through the pay-as-you-use model.",10.1109/MCC.2016.107,Privacy-Preserving Access to Big Data in the Cloud,11 November 2016,0
"Enter new approaches based on old approaches, namely containers, and thus Docker and container cluster managers, such as Google's Kubernetes, as well as hundreds of upstarts. The promise is to provide a common abstraction layer that allows applications to be localized within the container, and then ported to other public and private cloud providers that support the container standard.",10.1109/MCC.2016.122,Moving to Autonomous and Self-Migrating Containers for Cloud Applications,30 December 2016,0
"Clearly, contemporary disaster relief infrastructure and methods are inadequate, time-consuming, and certainly not optimally designed-especially given that the first 24 to 72 hours (the “golden 72”)-are critical to the rescue of disaster victims. Thus, we need an efficient and decisive emergency management and evacuation policy. To optimize such policies, it's important to analyze huge volume of data generated from different sources.[",10.1109/MCC.2014.72,Evacuation and Emergency Management Using a Federated Cloud,30 November 2014,0
"The success of each of these innovations required standards to be invented and adopted. Electricity required reproducible components that would fit together, and choices had to be made in terms of voltage, physical sockets, and connection interfaces. Units of usage in terms of billable measurements and metrics had to be standardized and adopted. Standardized streetcar designs and rail widths had to be adopted or migrated from similar technologies and had to be uniform at least within each city or region in which the lines ran.",10.1109/MCC.2015.27,"Invention, Innovation, and New APIs",2 June 2015,0
This is the most familiar and prolific cloud service. All the applications that provide a direct service to the client and run on the Cloud are located in the SaaS layer.,https://doi.org/10.1109/CCAA.2015.7148468,Study on cloud computing and cloud database,6 July 2015,0
"Cloud proponents often compare utility computing to electrical utilities. One of the most prominent voices behind this argument is Nicholas Carr, author of The Big Switch: Rewiring the World, from Edison to Google (Norton, 2008). Carr hails utility computing as a historic shift similar to the advent of electrical utilities. A century ago, factories provided their own power, but with the emergence of large utilities, electricity became a cheap commodity, enabling businesses to simply plug into the grid. Carr argues that a similar phenomenon is occurring with cloud computing. Private computer systems are being supplanted by services provided via the Internet. “It may take decades for companies to abandon their proprietary supply operations and all the investment they represent,” writes Carr. “But in the end the savings offered by utilities become too compelling to resist, even for the largest enterprises. The grid wins.”",10.1109/MIC.2010.136,Cloud Computing: The Limits of Public Clouds for Business Applications,1 November 2010,0
"So, the users were able to access a computer from anywhere on a network which was mainly used to link the government agencies and universities. As a result of which, Internet was developed. Then, with the advent of operating system, multiple functions could be carried out at the same time on standalone computers for the first time. This paved the way for multiple users to use many systems at the same time.",https://doi.org/10.1109/ICIPTM54933.2022.9753956,Scalable and Adaptable End-To-End Collection and Analysis of Cloud Computing Security Data: Towards End-To-End Security in Cloud Computing Systems,18 April 2022,0
"Complexity problems often arise in legacy, monolithic systems, such as large enterprise resource planning or core banking systems, making them inflexible and expensive to maintain. In many cases, such systems are linked together so even an apparently trivial change in a single component can create errors in that component or others. This therefore requires regression testing of all components and the system as a whole. We see the same complexity and reliability requirements in new software and digital products. When many changes, ranging from bug fixes to feature enhancements, occur in a monolithic application, it might never become stable and reliable.",10.1109/MCC.2016.109,The Economics of Microservices,11 November 2016,0
"Compared to traditional service computing—which is characterized by powerful service hosts, relatively stable networks, and simple interaction patterns—mobile service computing faces five inherent challenges: constant mobility, limited capability, restricted power, unguaranteed security, and undetermined willingness.",10.1109/MCC.2016.92,Toward Mobile Service Computing: Opportunities and Challenges,19 September 2016,0
"Globus is a hosted provider of high-performance, reliable, and secure data transfer, synchronization, and sharing.[4] In essence, it establishes a huge distributed data cloud through a vast network of Globus-accessible endpoints-storage resources that implement Globus's data access APIs. Through this cloud, users can access, move, and share large amounts of data remotely, without worrying about performance, reliability, or data integrity.",10.1109/MCC.2014.52,"Efficient and Secure Transfer, Synchronization, and Sharing of Big Data",30 September 2014,0
As technology is changing day by day the laws should also be updated so that it can provide full fledge security. The cloud provider should establish transparent policies to customer so that customers can easily understand them.,https://doi.org/10.1109/CSNT.2015.141,Efficient Framework Approach to Extract Privacy Issues in Cloud Computing,1 October 2015,0
"These technical and business advantages, however, don't come without cost. The security vulnerabilities inherited from the underlying technologies (that is, virtualization, IP, APIs, and datacenter) prevent organizations from adopting the cloud in many critical business applications.1 Generally speaking, cloud computing is a service-oriented architecture (SOA). Earlier work gives a comprehensive dependability and security taxonomy framework revealing the complex security cause-implication relations in this architecture.2 We summarize cloud computing vulnerabilities by underlying technology in the sidebar.",10.1109/MCC.2014.53,Enhancing Big Data Security with Collaborative Intrusion Detection,30 September 2014,0
"The IoT vision is to allow things to be connected anytime, anywhere, with anything and anyone, ideally using any path, network, and service. This vision has recently given rise to the notion of IoT big data applications that are capable of producing billions of datastreams and tens of years of historical data to provide the knowledge required to support timely decision making. These applications need to process and manage streaming and multidimensional data from geographically distributed data sources that can be available in different formats, present in different locations, and reliable at different levels of confidence.",10.1109/MCC.2015.14,Processing Distributed Internet of Things Data in Clouds,22 April 2015,0
"A datacenter contains a pool of servers and varying workload. As part of power management, the techniques like Variable power on / off can be adopted, which allows to power on only those servers having a workload.",https://doi.org/10.1109/ICPCSI.2017.8391816,The role of cloud computing infrastructure elasticity in energy efficient management of datacenters,21 June 2018,0
"An essential task in cloud security and privacy research is to identify new threats and vulnerabilities that are specific to cloud platforms and services. Several recent reports have explored such vulnerabilities. For example, in 2009, researchers from the University of California, San Diego, and the Massachusetts Institute of Technology demonstrated leakage attacks against Amazon's Elastic Compute Cloud (EC2) virtual machines (VMs).1 More specifically, the researchers showed that it's possible to probe and infer the overall placement of VMs in the EC2 infrastructure. Furthermore, an attacker can launch a malicious EC2 instance and then determine whether that instance is physically colocated with a targeted (victim) instance. When the attacker's instance is successfully colocated with the victim, it can launch a side-channel attack by monitoring the status of shared physical resources such as level-1 and level-2 caches, and thus infer the victim's computation and I/O activities.",10.1109/MCC.2014.20,Security and Privacy in Cloud Computing,10 July 2014,0
"Zhang et al. proposed an elastic application model [6], which divided the application into multiple weblets and provided optimal resilience by taking into account factors such as the resource availability of the mobile device and cloud, user preferences, program performance, etc.",https://doi.org/10.1109/CIACT.2018.8480365,"Mobile Cloud Computing: the State of Art, Application Scenarios and Challenges",4 October 2018,0
"Next, EDC can be defined as a “collection of heterogeneous resources including smart IoT devices, IoT gateways (e.g., raspberry pi 3, UDOO board, esp8266, etc.), and Software Defined Networking (SDN) and Network Function Virtualisation (NFV) devices (e.g., Cisco IOx, Hewlett Packard (HP) OpenFlow and Middlebox Technologies) at the network edge that can offer computing and storage capabilities on a pervasive—yet much smaller—scale than CDCs. The scope and role of each resource in an EDC differs. For example, IoT gateways collect, aggregate, and process the data generated by the sensing devices.",10.1109/MCC.2017.18,Modelling and Simulation Challenges in Internet of Things,15 March 2017,0
"Cloud computing systems include infrastructure and software that can be delivered in the form of remote services on a pay-as-you-go pricing model; these cloud systems have been defined as the next step of the Internet's evolution. Today, another promising technology is edge computing, which pushes clouds away from their logical network, creating fog computing.12 Fog computing expands cloud functionality, allowing business logic and process management to be executed as near as possible to the actual data source (that is, the laptop or smartphone). This alternative view of clouds extends services to user premises and is utilized directly in users' personal devices. Fog computing could offer cloud technology know-how for remote data storage and management, while local data processing facilitates a self-adaptive environment for data extraction and analysis, such as in mobile devices. In such a solution, traditional legacy systems must be imported to the cloud infrastructure and interoperate in both local and remote clouds. To achieve this, users' software and APIs must communicate successfully and understand the new system constraints.",10.1109/MCC.2016.128,Internet of Things Architecture for Enhanced Living Environments,30 December 2016,0
"Thus, the main research questions we address here are how to securely store and manage big EHR data, and how to ensure secure access to this data. Cloud-based utility services (such as storage) offer additional benefits to EHR systems—for example, they're more cost effective, can be easier to manage (for example, access and retrieval), and support collaboration, with mobile technologies and devices to gather data.4, 5 Electrocardiography (ECG) provides an appropriate host signal and a verifiably secure means to store big EHR data in the cloud. To ensure secure access to big EHR data, we propose a cryptographic role-based access control method that's scalable to a large number of users.",10.1109/MCC.2016.76,Hybrid Cryptographic Access Control for Cloud-Based EHR Systems,19 September 2016,0
Providing security-as-a-service by using either by using established information security vendors or by cloud service providers providing security as cloud service with information security companies.,https://doi.org/10.1109/CCAA.2015.7148468,Study on cloud computing and cloud database,6 July 2015,0
"We have identified real world scenarios that require interoperable data management among cloud infrastructures to manage user data produced by mobile devices. In general, services running in IaaS Clouds can download user data files from the cloud storage, execute the necessary application on these files, and upload the modified data to the storage service. Such files can be for example a photo or video made by the user with his/her mobile phone to be processed by an application unsuitable for mobile devices. In our solution currently developed for Android devices, there is a possibility to configure the processes to be performed on the data with a separate configuration file, which is automatically created and managed by a mobile application running on the users device. This application is also responsible for communicating with the cloud storage, which is Dropbox in our case. The file manipulation applications have been created as a virtual appliance, and have been pre-deployed in the participating IaaS Clouds.",10.1109/BDCloud.2014.41,Interoperating Cloud Services for Enhanced Data Management,9 February 2015,0
"Applications store and process data in the cloud, and users access data for diverse purposes, such as simple storage or analytics (see Figure 1). Because the reliability of cloud computing operations depends on the enforcement of security policies (access control, data encryption, and so on), security weaknesses and deficiencies must be addressed.",10.1109/MCC.2015.45,"Security and Privacy in Cloud Computing: Vision, Trends, and Challenges",2 June 2015,0
"This may seem obvious but this is where we get into what serverless really is at its core. In any supposedly “serverless” compute offering, someone (or something) is managing compute servers. But what's on these servers? Serverless isn't specific about how it's implemented so different cloud providers have different components making up the stack—but there are common crucial elements shared between them. You'll need a way to run code in isolation (e.g. Docker), a way to autoscale underlying compute, security monitoring, metrics, some kind of input/output layer for logging and passing data to and from your serverless functions.",10.1109/MCC.2017.32,"Be Wary of the Economics of ""Serverless"" Cloud Computing",26 April 2017,0
"The goal of our design of ECaaS and associated apps is to ultimately develop and install ongoing health assessment, making it accessible for a broader group of older adults and physical therapy clinics. Toward this goal, we integrate living lab approaches and user experience principles. This helps us to prepare data-driven reflections for revisiting old and new design decisions and fosters future development of cloud-based services that can be delivered in ELEs for eldercare.",10.1109/MCC.2017.46,Toward an ElderCare Living Lab for Sensor-Based Health Assessment and Physical Therapy,29 June 2017,0
"To process data as they arrive, the paradigm has changed from the conventional “one-shot” data processing approach to elastic and virtualized datacenter cloud-based data processing frameworks that can mine continuous, high-volume, open-ended datastreams. This advancement is broadly supported by two key technologies.",10.1109/MCC.2014.22,Streaming Big Data Processing in Datacenter Clouds,10 July 2014,0
"VMs as the cloud's core virtualization construct have been improved successively by addressing scheduling, packaging, and resource access (security) problems. VM instances acting as guests use large, isolated files on their hosts to store their entire file system and typically run a single, large process on the host. Although security concerns are usually addressed through isolation, several limitations remain. Full guest OS images are required for each VM in addition to the binaries and libraries necessary for the applications. Full images create a space concern that translates into RAM and disk storage requirements and is slow on startup (booting might take from 1 to more than 10 minutes[4]) as in Figure 1, which shows the different architectural settings.",10.1109/MCC.2015.51,Containerization and the PaaS Cloud,15 July 2015,0
"A smooth intellectual transition can take place from observing that some real devices can be connected and automated to the assumption that everything can be treated as part of the same collection. It would not be correct, however, to assume that standards for communication protocols, hardware, device management, data formats, security, or any of the other myriad aspects of the “things” in the IoT will all become uniform and simplified on their own.",10.1109/MCC.2017.23,Standards at the Edge of the Cloud,26 April 2017,0
"Containers have long existed in various forms that differ by the level of isolation they provide. For example, Berkeley Software Distribution (BSD) jails and chroot can be considered an early form of container technology. Recent Linux-based container solutions rely on kernel support—that is, a userspace library to provide an interface to syscalls and frontend applications. There are two main kernel implementations: Linux container (LXC) implementations using cgroups and namespaces, and the OpenVZ patch. Table 1 shows the most popular implementations and their dependences.",10.1109/MCC.2016.100,To Docker or Not to Docker: A Security Perspective,11 November 2016,0
"In today's provider-centric clouds, service specification, security, dependability, pricing, and SLAs are beyond users' influence. To tackle the security and dependability challenges in a multicloud, we need new infrastructure management paradigms that are both user-centric and self-managed. The former means enabling self-service of cloud-of-clouds, where customers define their own protection requirements and can avoid technology and vendor lock-ins. The latter means reducing the administration complexity of cloud-of-clouds through automation techniques.",10.1109/MCC.2016.110,User-Centric Security and Dependability in the Clouds-of-Clouds,11 November 2016,0
"Osmotic computing is a new paradigm that's driven by the significant increase in resource capacity/capability at the network edge, along with support for data transfer protocols that enable such resources to interact more seamlessly with datacenter-based services. It aims at highly distributed and federated environments, and enables the automatic deployment of microservices that are composed and interconnected over both edge and cloud infrastructures.",10.1109/MCC.2016.124,Osmotic Computing: A New Paradigm for Edge/Cloud Integration,30 December 2016,0
"Nevertheless, the usage of an Osmotic Computing infrastructure (CDC+EDC) poses new challenges for IoT workflow application developers and operations managers as they need the awareness of resource/device (CDC server vs. IoT gateway) heterogeneity, virtualisation software heterogeneity (e.g., hypervisor vs. container), data analytic programming model heterogeneity (stream processing vs. batch processing), geographic distribution, and network performance uncertainties.",10.1109/MCC.2017.22,Osmotic Flow: Osmotic Computing + IoT Workflow,26 April 2017,0
"Job Reader Job Reader has function to read job that queuing and ready to be executed. Job Reader has function to start, pause, resume or stop depending on how it would be run. Job Reader also has function to set the speed to execute single job. We can define slow, middle or fast crawling with this module. This speed setting will affect such things as: how much traffic is flowing, how other hardware capabilities in handling high transaction.",10.1109/ICCCSN.2012.6215751,Building crawler engine on cloud computing infrastructure,14 June 2012,0
"PaaS (Platform as a Service)model allows the users for developing and deploying the applications over the cloud environment by taking rent of a platform usage.
",https://doi.org/10.1109/I2CT.2018.8529806,Approaches for Detection of Digital Evidence in Cloud Computing Environment,11 November 2018,0
